URL,Cost,Number of times executed,Average execution time,Max execution time,Min execution time
/pma.html,77,2,38,77,0
/scripts/dygraph-combined.js,71,19,3,56,0
/fonts/HelveticaNeue-Medium.ttf,63,3,21,50,6
/scripts/jquery-2.1.0.min.js,43,19,2,27,0
/fonts/HelveticaNeue-Light.ttf,24,17,1,6,0
/scripts/pma.js,12,19,0,8,0
/,12,20,0,4,0
/data/IIS.+Top+15+popular+requests.CSV,6,20,0,3,0
/data/IIS.+Requests+per+hour.CSV,4,20,0,3,0
/data/PMA.+The+most+expensive+request.CSV,4,20,0,3,0
/styles.css,4,19,0,2,0
/data/IIS.+Time-taken+for+the+most+expensive+request+depending+on+time+of+the+day.CSV,3,17,0,1,0
/data/IIS.+Top+15+expensive+requests.CSV,3,20,0,3,0
/favicon.ico,2,12,0,1,0
